elements_count,time_taken,cycle_num,chunk_size
15000,1572,1,4
15000,1577,1,5
15000,1575,1,6
15000,1697,1,7
15000,1572,1,8
15000,1577,1,9
15000,1647,2,1
15000,1572,2,10
15000,1583,2,11
15000,1577,2,12
15000,1585,2,13
15000,1587,2,14
15000,1580,2,15
15000,1575,2,16
15000,1596,2,17
15000,1626,2,18
15000,1574,2,19
15000,1583,2,2
15000,1583,2,20
15000,1583,2,21
15000,1577,2,22
15000,1581,2,23
15000,1582,2,24
15000,1581,2,3
15000,1582,2,4
15000,1602,2,5
15000,1569,2,6
15000,1625,2,7
15000,1580,2,8
15000,1575,2,9
15000,1586,3,1
15000,1578,3,10
15000,1573,3,11
15000,1581,3,12
15000,1574,3,13
15000,1609,3,14
15000,1589,3,15
15000,1570,3,16
15000,1568,3,17
15000,1579,3,18
15000,1580,3,19
15000,1578,3,2
15000,1575,3,20
15000,1589,3,21
15000,1573,3,22
15000,1625,3,23
15000,1633,3,24
15000,1578,3,3
15000,1579,3,4
15000,1589,3,5
15000,1573,3,6
15000,1570,3,7
15000,1585,3,8
15000,1577,3,9
15000,1554,4,1
15000,1422,4,10
15000,1411,4,11
15000,1465,4,12
15000,1401,4,13
15000,1407,4,14
15000,1396,4,15
15000,1396,4,16
15000,1430,4,17
15000,1404,4,18
15000,1402,4,19
15000,1512,4,2
15000,1434,4,20
15000,1396,4,21
15000,1460,4,22
15000,1415,4,23
15000,1398,4,24
15000,1481,4,3
15000,1468,4,4
15000,1457,4,5
15000,1441,4,6
15000,1423,4,7
15000,1429,4,8
15000,1413,4,9
15000,1574,5,1
15000,1605,5,10
15000,1569,5,11
15000,1580,5,12
15000,1577,5,13
15000,1633,5,14
15000,1574,5,15
15000,1608,5,16
15000,1593,5,17
15000,1576,5,18
15000,1582,5,19
15000,1620,5,2
15000,1571,5,20
15000,1570,5,21
15000,1596,5,22
15000,1577,5,23
15000,1575,5,24
15000,1571,5,3
15000,1578,5,4
15000,1571,5,5
15000,1577,5,6
15000,1572,5,7
15000,1573,5,8
15000,1600,5,9
15000,1591,6,1
15000,1572,6,10
15000,1574,6,11
15000,1584,6,12
15000,1576,6,13
15000,1580,6,14
15000,1585,6,15
15000,1571,6,16
15000,1589,6,17
15000,1582,6,18
15000,1603,6,19
15000,1569,6,2
15000,1576,6,20
15000,1574,6,21
15000,1573,6,22
15000,1570,6,23
15000,1571,6,24
15000,1569,6,3
15000,1575,6,4
15000,1605,6,5
15000,1576,6,6
15000,1608,6,7
15000,1628,6,8
15000,1577,6,9
30000,6230,1,1
30000,6230,1,10
30000,6257,1,11
30000,6250,1,12
30000,6234,1,13
30000,6263,1,14
30000,6242,1,15
30000,6263,1,16
30000,6235,1,17
30000,6240,1,18
30000,6229,1,19
30000,6253,1,2
30000,6265,1,20
30000,6260,1,21
30000,6267,1,22
30000,6228,1,23
30000,6255,1,24
30000,6252,1,3
30000,6244,1,4
30000,6223,1,5
30000,6274,1,6
30000,6220,1,7
30000,6229,1,8
30000,6237,1,9
30000,6210,2,1
30000,6287,2,10
30000,6274,2,11
30000,6270,2,12
30000,6267,2,13
30000,6265,2,14
30000,6283,2,15
30000,6241,2,16
30000,6255,2,17
30000,6254,2,18
30000,6288,2,19
30000,6249,2,2
30000,6274,2,20
30000,6285,2,21
30000,6258,2,22
30000,6225,2,23
30000,6254,2,24
30000,6231,2,3
30000,6235,2,4
30000,6259,2,5
30000,6258,2,6
30000,6241,2,7
30000,6238,2,8
30000,6243,2,9
30000,6256,3,1
30000,6253,3,10
30000,6262,3,11
30000,6244,3,12
30000,6258,3,13
30000,6275,3,14
30000,6266,3,15
30000,6249,3,16
30000,6249,3,17
30000,6272,3,18
30000,6263,3,19
30000,6258,3,2
30000,6280,3,20
30000,6226,3,21
30000,6236,3,22
30000,6277,3,23
30000,6241,3,24
30000,6246,3,3
30000,6297,3,4
30000,6247,3,5
30000,6258,3,6
30000,6285,3,7
30000,6242,3,8
30000,6249,3,9
30000,6162,4,1
30000,5564,4,10
30000,5525,4,11
30000,5543,4,12
30000,5574,4,13
30000,5806,4,14
30000,5513,4,15
30000,5507,4,16
30000,5523,4,17
30000,5523,4,18
30000,5514,4,19
30000,6032,4,2
30000,5543,4,20
30000,5537,4,21
30000,5522,4,22
30000,5559,4,23
30000,5530,4,24
30000,5927,4,3
30000,5848,4,4
30000,5769,4,5
30000,5762,4,6
30000,5588,4,7
30000,5643,4,8
30000,5588,4,9
30000,6248,5,1
30000,6213,5,10
30000,6259,5,11
30000,6267,5,12
30000,6240,5,13
30000,6256,5,14
30000,6246,5,15
30000,6241,5,16
30000,6252,5,17
30000,6253,5,18
30000,6253,5,19
30000,6263,5,2
30000,6242,5,20
30000,6288,5,21
30000,6257,5,22
30000,6244,5,23
30000,6252,5,24
30000,6244,5,3
30000,6251,5,4
30000,6280,5,5
30000,6246,5,6
30000,6290,5,7
30000,6267,5,8
30000,6267,5,9
30000,6247,6,1
30000,6276,6,10
30000,6254,6,11
30000,6262,6,12
30000,6246,6,13
30000,6249,6,14
30000,6270,6,15
30000,6247,6,16
30000,6261,6,17
30000,6307,6,18
30000,6236,6,19
30000,6237,6,2
30000,6248,6,20
30000,6276,6,21
30000,6263,6,22
30000,6266,6,23
30000,6244,6,24
30000,6253,6,3
30000,6235,6,4
30000,6267,6,5
30000,6285,6,6
30000,6286,6,7
30000,6243,6,8
30000,6262,6,9
