thread_count,elements_count,time_taken,letter
3,30000,8889,S
4,30000,7950,S
5,30000,7420,S
6,30000,7053,S
7,30000,6776,S
8,30000,6757,S
9,30000,6565,S
10,30000,6587,S
11,30000,6398,S
12,30000,6413,S
2,30000,8420,T
3,30000,7203,T
4,30000,6600,T
5,30000,6402,T
6,30000,6329,T
7,30000,6262,T
8,30000,6223,T
9,30000,6254,T
10,30000,6261,T
11,30000,6309,T
12,30000,6390,T
2,30000,10191,U
3,30000,8812,U
4,30000,7951,U
5,30000,7386,U
6,30000,7004,U
7,30000,6687,U
8,30000,6481,U
9,30000,6394,U
10,30000,6614,U
11,30000,6435,U
12,30000,6283,U
2,30000,10236,V
3,30000,8820,V
4,30000,7954,V
5,30000,7402,V
6,30000,6983,V
7,30000,6685,V
8,30000,6488,V
9,30000,6421,V
10,30000,6610,V
11,30000,6348,V
12,30000,6334,V
